regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numActiveCases	numDeaths	numRecoveredCases	numTests	dataSource
a25ee035	Aitkin County, Minnesota	2020-04-23	2020-04-23T00:00:00	0	1							https://www.health.state.mn.us/
ffba01d8	Alabama	2020-04-23		197	5816							https://covid19.alabama.gov/
f17150e0	Alachua County, Florida	2020-04-23		1	231							https://floridahealthcovid19.gov/
63a49dd0	Alagoas	2020-04-23	2020-04-23T20:00:00	22	324							https://covid.saude.gov.br/
5ad00856	Alamance County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	0	63							https://www.ncdhhs.gov/
f018a4e1	Alameda County, California	2020-04-23		56	1336			81				https://www.cdph.ca.gov/
b44fe8fa	Alamosa County, Colorado	2020-04-23			9							https://covid19.colorado.gov/
b73c0248	Alaska	2020-04-23	2020-04-23T09:00:00	9	337	209						http://www.dhss.alaska.gov/
2f6bda35	Albania	2020-04-23	2020-04-23T00:00:00	27	663	385	6509					https://coronavirus.al/statistika/
e4858985	Albany County, New York	2020-04-23	2020-04-23T14:00:00	23	758		7713					https://coronavirus.health.ny.gov/
d2096c78	Albany County, Wyoming	2020-04-23	2020-04-23T06:00:00+0000		6							https://health.wyo.gov/
d90f9aba	Albemarle County, Virginia	2020-04-23	2020-04-23T10:00:00	3	71							http://www.vdh.virginia.gov/
83a41259	Albergaria-a-Velha	2020-04-23	2020-04-22T23:00:00		61							https://covid19.min-saude.pt/
a1904013	Alberta	2020-04-23	2020-04-23T15:00:00	67	3720	1357	112562					https://www.canada.ca/
4c6eca91	Albufeira	2020-04-23	2020-04-22T23:00:00		68							https://covid19.min-saude.pt/
d693268d	Alcanena	2020-04-23	2020-04-22T23:00:00		5							https://covid19.min-saude.pt/
1810242f	Alcochete	2020-04-23	2020-04-22T23:00:00		14							https://covid19.min-saude.pt/
2d588659	Alcona County, Michigan	2020-04-23	2020-04-23T19:00:00+0000		4							https://www.michigan.gov/
c689dbab	Alcorn County, Mississippi	2020-04-23	2020-04-23T05:00:00+0000	0	8							https://msdh.ms.gov/
f644ff89	Alenquer, Portugal	2020-04-23	2020-04-22T23:00:00		16							https://covid19.min-saude.pt/
f898a03e	Alexander County, Illinois	2020-04-23		0	2							http://www.dph.illinois.gov/
b36c6c36	Alexander County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	0	4							https://www.ncdhhs.gov/
ede79b9f	Alexandria, Virginia	2020-04-23	2020-04-23T10:00:00	14	512							http://www.vdh.virginia.gov/
3be3ee21	Alfalfa County, Oklahoma	2020-04-23	2020-04-23T00:00:00		1	1						https://coronavirus.health.ok.gov/
cecc1f67	Algeria	2020-04-23	2020-04-23T00:00:00	407	3007	1355						http://covid19.sante.gov.dz/
e384ad25	Allamakee County, Iowa	2020-04-23		3	46							https://idph.iowa.gov/
0d67f0d1	Allegan County, Michigan	2020-04-23	2020-04-23T19:00:00+0000		56							https://www.michigan.gov/
35039e43	Allegany County, Maryland	2020-04-23		3	77							https://coronavirus.maryland.gov/
9350652c	Allegany County, New York	2020-04-23	2020-04-23T14:00:00	2	30		393					https://coronavirus.health.ny.gov/
02b9ceee	Alleghany County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	0	2							https://www.ncdhhs.gov/
50d4bedb	Alleghany County, Virginia	2020-04-23	2020-04-23T10:00:00		5							http://www.vdh.virginia.gov/
64ac3a1a	Allegheny County, Pennsylvania	2020-04-23	2020-04-23T16:45:00+0000	69	1149		13774					https://www.health.pa.gov/
1c57cb26	Allen County, Indiana	2020-04-23	2020-04-23T12:00:00	23	387		2703					https://coronavirus.in.gov/
83b79d1f	Allen County, Kansas	2020-04-23	2020-04-23T09:45:00									https://govstatus.egov.com/
e92ebe94	Allen County, Kentucky	2020-04-23		0	5							https://govstatus.egov.com/
0371a58f	Allen County, Ohio	2020-04-23	2020-04-23T14:00:00	14	100							https://coronavirus.ohio.gov/
b5f0c9a5	Allen Parish, Louisiana	2020-04-23		9	81							http://ldh.la.gov/
a9cf5d6a	Allendale County, South Carolina	2020-04-23		1	7							https://www.scdhec.gov/
6106a521	Almada	2020-04-23	2020-04-22T23:00:00		166							https://covid19.min-saude.pt/
b3ffd24b	Almeida, Portugal	2020-04-23	2020-04-22T23:00:00		6							https://covid19.min-saude.pt/
0b36c4fd	Almeirim	2020-04-23	2020-04-22T23:00:00		13							https://covid19.min-saude.pt/
a22431e8	Alpena County, Michigan	2020-04-23	2020-04-23T19:00:00+0000	1	47							https://www.michigan.gov/
b42623c8	Alpine County, California	2020-04-23	2020-04-21T16:16:00		2	1	11					https://www.alpinecountyca.gov/
ee448a31	Amador County, California	2020-04-23	2020-04-22T00:00:00		8	5						https://www.amadorgov.org/
68386789	Amadora	2020-04-23	2020-04-22T23:00:00		251							https://covid19.min-saude.pt/
9177145c	Amarante, Portugal	2020-04-23	2020-04-22T23:00:00		74							https://covid19.min-saude.pt/
a034d5e7	Amares	2020-04-23	2020-04-22T23:00:00		41							https://covid19.min-saude.pt/
b303a231	Amazonas (Brazilian state)	2020-04-23	2020-04-23T20:00:00	234	2888							https://covid.saude.gov.br/
14acdbb0	Amelia County, Virginia	2020-04-23	2020-04-23T10:00:00	1	15							http://www.vdh.virginia.gov/
a85c3f19	Amherst County, Virginia	2020-04-23	2020-04-23T10:00:00		9							http://www.vdh.virginia.gov/
d9446149	Amite County, Mississippi	2020-04-23	2020-04-23T05:00:00+0000	1	24							https://msdh.ms.gov/
27ed841d	Anadia, Portugal	2020-04-23	2020-04-22T23:00:00		27							https://covid19.min-saude.pt/
b873dad2	Anchorage, Alaska	2020-04-23			166							http://www.dhss.alaska.gov/
39fbf31b	Andalusia	2020-04-23	2020-04-24T09:35:03	1107	12495	3992						https://www.mscbs.gob.es/
7e04d621	Andaman and Nicobar Islands	2020-04-23	2020-04-22T11:30:00+0000	0	17	11						https://www.mohfw.gov.in/
5a54aa59	Anderson County, Kansas	2020-04-23	2020-04-23T09:45:00									https://govstatus.egov.com/
b5bce453	Anderson County, Kentucky	2020-04-23		1	7							https://govstatus.egov.com/
ac17bb58	Anderson County, South Carolina	2020-04-23		6	137							https://www.scdhec.gov/
b39b0793	Anderson County, Tennessee	2020-04-23	2020-04-23T19:00:00	1	23	15						https://www.tn.gov/
80360eb3	Anderson County, Texas	2020-04-23			14							https://www.dshs.state.tx.us/
ea12646e	Andhra Pradesh	2020-04-23	2020-04-22T11:30:00+0000	24	813	120						https://www.mohfw.gov.in/
02c7550e	Andorra	2020-04-23		37	724	333						https://www.who.int/
265c6149	Andrew County, Missouri	2020-04-23			1							https://health.mo.gov/
75078615	Andrews County, Texas	2020-04-23			19							https://www.dshs.state.tx.us/
bdc8b861	Androscoggin County, Maine	2020-04-23	2020-04-23T15:45:00+0000	1	37	21						https://www.maine.gov/
4b1bcb6e	Angelina County, Texas	2020-04-23			31							https://www.dshs.state.tx.us/
4795fbaf	Angola	2020-04-23	2020-04-24T11:42:31	2	24							https://www.ecdc.europa.eu/
e2845aac	Anguilla	2020-04-23	2020-04-24T11:42:31		3							https://www.ecdc.europa.eu/
70c674df	Anne Arundel County, Maryland	2020-04-23		54	1294							https://coronavirus.maryland.gov/
d155d2b5	Anoka County, Minnesota	2020-04-23	2020-04-23T00:00:00	2	131							https://www.health.state.mn.us/
cbe088aa	Anson County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	0	18							https://www.ncdhhs.gov/
305cfa80	Antelope County, Nebraska	2020-04-23			1							http://dhhs.ne.gov/
25c3e15d	Antigua and Barbuda	2020-04-23	2020-04-24T11:42:31	3	24							https://www.ecdc.europa.eu/
51db517f	Antofagasta	2020-04-23	2020-04-22T04:00:00+0000	2	326							https://www.minsal.cl/
4d99e95d	Antrim County, Michigan	2020-04-23	2020-04-23T19:00:00+0000		9							https://www.michigan.gov/
20fc9474	Aosta Valley	2020-04-23		127	1096	506	5227	463				http://www.salute.gov.it/
29697497	Apache County, Arizona	2020-04-23	2020-04-23T00:00:00	5	268		1451					https://azdhs.gov/
53370ed8	Appanoose County, Iowa	2020-04-23		2	2							https://idph.iowa.gov/
b511133c	Appling County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	3	49							https://dph.georgia.gov/
3c649f7d	Appomattox County, Virginia	2020-04-23	2020-04-23T10:00:00		12							http://www.vdh.virginia.gov/
ccb8daad	Apulia	2020-04-23		372	3839	531	50410	2936				http://www.salute.gov.it/
6423cced	Aragon	2020-04-23	2020-04-24T09:35:03	695	5295	1781						https://www.mscbs.gob.es/
7e90468e	Aransas County, Texas	2020-04-23			2							https://www.dshs.state.tx.us/
1e81bce8	Arapahoe County, Colorado	2020-04-23			1824							https://covid19.colorado.gov/
74b1fdea	Archuleta County, Colorado	2020-04-23			9							https://covid19.colorado.gov/
57064d36	Arcos de Valdevez	2020-04-23	2020-04-22T23:00:00		50							https://covid19.min-saude.pt/
ffa7dfb1	Arenac County, Michigan	2020-04-23	2020-04-23T19:00:00+0000	1	15							https://www.michigan.gov/
c1a63a71	Arganil	2020-04-23	2020-04-22T23:00:00		7							https://covid19.min-saude.pt/
34da8961	Argentina	2020-04-23	2020-04-24T11:42:31	159	3276			144	8			https://www.ecdc.europa.eu/
9593eb68	Arica y Parinacota Region	2020-04-23	2020-04-22T04:00:00+0000	2	180							https://www.minsal.cl/
69f80530	Arizona	2020-04-23	2020-04-23T00:00:00	249	5769		58697					https://azdhs.gov/
23c77423	Arkansas	2020-04-23		45	2465	902						https://www.healthy.arkansas.gov/
da8448ae	Arkansas County, Arkansas	2020-04-23		0	2	1						https://www.healthy.arkansas.gov/
8ad85015	Arlington County, Virginia	2020-04-23	2020-04-23T10:00:00	24	686							http://www.vdh.virginia.gov/
6ce49012	Armenia	2020-04-23	2020-04-23T23:00:00	24	1523	659	15860					https://ncdc.am/
309e0972	Armstrong County, Pennsylvania	2020-04-23	2020-04-23T16:45:00+0000	2	43		595					https://www.health.pa.gov/
4ad15154	Armstrong County, Texas	2020-04-23			1							https://www.dshs.state.tx.us/
00a4403b	Aroostook County, Maine	2020-04-23	2020-04-23T15:45:00+0000		3	1						https://www.maine.gov/
87a3840f	Arouca, Portugal	2020-04-23	2020-04-22T23:00:00		30							https://covid19.min-saude.pt/
53a901f9	Arruda dos Vinhos	2020-04-23	2020-04-22T23:00:00		5							https://covid19.min-saude.pt/
ad99992a	Arthur County, Nebraska	2020-04-23			0							http://dhhs.ne.gov/
26a875c1	Aruba	2020-04-23	2020-04-24T11:42:31	2	100			3				https://www.ecdc.europa.eu/
8778e941	Arunachal Pradesh	2020-04-23	2020-04-22T11:30:00+0000	0	1	1						https://www.mohfw.gov.in/
ca97bda6	Ascension Parish, Louisiana	2020-04-23		33	536							http://ldh.la.gov/
f90b7eab	Ashe County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	0	4							https://www.ncdhhs.gov/
0e741e0a	Ashland County, Ohio	2020-04-23	2020-04-23T14:00:00		5							https://coronavirus.ohio.gov/
2918b687	Ashland County, Wisconsin	2020-04-23	2020-04-23T06:00:00	0	2							https://www.dhs.wisconsin.gov/
80d79229	Ashley County, Arkansas	2020-04-23		0	13	2						https://www.healthy.arkansas.gov/
87a190e6	Ashtabula County, Ohio	2020-04-23	2020-04-23T14:00:00	7	98							https://coronavirus.ohio.gov/
044bdaf8	Asotin County, Washington	2020-04-23		1	14							https://coronavirus.wa.gov/
dd68b46e	Assam	2020-04-23	2020-04-22T11:30:00+0000	1	35	19						https://www.mohfw.gov.in/
37a14513	Assumption Parish, Louisiana	2020-04-23		2	158							http://ldh.la.gov/
13867d33	Asturias	2020-04-23	2020-04-24T09:35:03	231	2509	688						https://www.mscbs.gob.es/
abc66e3c	Atacama Region	2020-04-23	2020-04-22T04:00:00+0000	0	13							https://www.minsal.cl/
438ae5d3	Atascosa County, Texas	2020-04-23		1	14							https://www.dshs.state.tx.us/
60a8ea81	Atchison County, Kansas	2020-04-23	2020-04-23T09:45:00		8							https://govstatus.egov.com/
714ade71	Atchison County, Missouri	2020-04-23			2							https://health.mo.gov/
f4e5110a	Athens County, Ohio	2020-04-23	2020-04-23T14:00:00	1	4							https://coronavirus.ohio.gov/
54cd65ac	Atkinson County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	0	7							https://dph.georgia.gov/
3ab6dfda	Atlantic County, New Jersey	2020-04-23		22	469							https://www.nj.gov/
c04a76b4	Atoka County, Oklahoma	2020-04-23	2020-04-23T00:00:00		1	1						https://coronavirus.health.ok.gov/
55cc1111	Attala County, Mississippi	2020-04-23	2020-04-23T05:00:00+0000	0	62							https://msdh.ms.gov/
eb21fab2	Audrain County, Missouri	2020-04-23			1							https://health.mo.gov/
9a634509	Audubon County, Iowa	2020-04-23		0	1							https://idph.iowa.gov/
168317c5	Auglaize County, Ohio	2020-04-23	2020-04-23T14:00:00	3	29							https://coronavirus.ohio.gov/
da2d67b8	Augusta County, Virginia	2020-04-23	2020-04-23T10:00:00	1	33							http://www.vdh.virginia.gov/
5d1a6500	Aurora County, South Dakota	2020-04-23	2020-04-23T10:46:32		1	1	35					https://doh.sd.gov/
930dab5f	Austin County, Texas	2020-04-23			12							https://www.dshs.state.tx.us/
8a7ed673	Australia	2020-04-23	2020-04-23T15:00:00	75	6661	5045	466000					https://www.health.gov.au/
43e64f0c	Australian Capital Territory	2020-04-23	2020-04-22T05:00:00+0000		104							https://www.health.gov.au/
a4da20c4	Austria	2020-04-23	2020-04-23T20:00:00	508	14985	11694						https://info.gesundheitsministerium.at/
7a903b4b	Autauga County, Alabama	2020-04-23		2	33							https://covid19.alabama.gov/
c174e903	Autonomous Province of Kosovo and Metohija	2020-04-23	2020-04-24T11:42:31	18	630			26				https://www.ecdc.europa.eu/
50246b0c	Aveiro, Portugal	2020-04-23	2020-04-22T23:00:00		243							https://covid19.min-saude.pt/
2b206d9a	Avery County, North Carolina	2020-04-23		0	0							https://www.ncdhhs.gov/
23fe4a45	Avoyelles Parish, Louisiana	2020-04-23		7	71							http://ldh.la.gov/
cc4bbe71	Azambuja	2020-04-23	2020-04-22T23:00:00		7							https://covid19.min-saude.pt/
071f1013	Azerbaijan	2020-04-23	2020-04-23T00:00:00	20	1548	948						https://its.gov.az/
19e51806	Baca County, Colorado	2020-04-23			10							https://covid19.colorado.gov/
20ed9f15	Bacon County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	1	20							https://dph.georgia.gov/
2e5eafe4	Bahia	2020-04-23	2020-04-23T20:00:00	59	1789							https://covid.saude.gov.br/
d5e18e0f	Bahrain	2020-04-23	2020-04-23T23:30:00	8	2217	1082	101667					https://www.moh.gov.bh/COVID19
5a896d58	Baker County, Florida	2020-04-23		3	19							https://floridahealthcovid19.gov/
848a4d45	Baker County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	2	19							https://dph.georgia.gov/
1b3283c8	Baker County, Oregon	2020-04-23	2020-04-23T15:00:00+0000	0	0		56					https://govstatus.egov.com/OR-OHA-COVID-19
cded40c1	Baldwin County, Alabama	2020-04-23		3	142							https://covid19.alabama.gov/
4bddbd29	Baldwin County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	4	161							https://dph.georgia.gov/
278a5bda	Balearic Islands	2020-04-23	2020-04-24T09:35:03	172	1878	1081						https://www.mscbs.gob.es/
1d176b08	Ballard County, Kentucky	2020-04-23		0	4							https://govstatus.egov.com/
33a86d54	Baltimore	2020-04-23		60	1672							https://coronavirus.maryland.gov/
e21fad7e	Baltimore County, Maryland	2020-04-23		62	2132							https://coronavirus.maryland.gov/
2c1baf90	Bamberg County, South Carolina	2020-04-23		0	7							https://www.scdhec.gov/
057625a9	Bandera County, Texas	2020-04-23			4							https://www.dshs.state.tx.us/
6b8e11b0	Bangladesh	2020-04-23	2020-04-22T08:00:00	127	4186	108	36090					https://www.iedcr.gov.bd/
d85e0afb	Banks County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	0	17							https://dph.georgia.gov/
8f561863	Banner County, Nebraska	2020-04-23			0							http://dhhs.ne.gov/
afa8f0b7	Bannock County, Idaho	2020-04-23	2020-04-23T17:00:00		5							https://coronavirus.idaho.gov/
983f3b99	Barbados	2020-04-23	2020-04-24T11:42:31	6	76			1	1			https://www.ecdc.europa.eu/
7a174ca6	Barber County, Kansas	2020-04-23	2020-04-23T09:45:00		1							https://govstatus.egov.com/
a08327ad	Barbour County, Alabama	2020-04-23		0	30							https://covid19.alabama.gov/
e381aee9	Barbour County, West Virginia	2020-04-23	2020-04-23T10:00:00	1	4							https://dhhr.wv.gov/
ebbf2812	Barcelos, Portugal	2020-04-23	2020-04-22T23:00:00		190							https://covid19.min-saude.pt/
ef3cc28f	Barnes County, North Dakota	2020-04-23	2020-04-23T16:02:00+0000		3							https://www.health.nd.gov/
879c2aab	Barnstable County, Massachusetts	2020-04-23	2020-04-23T16:00:00	28	708							https://www.mass.gov/
b195306f	Barnwell County, South Carolina	2020-04-23		0	10							https://www.scdhec.gov/
f9dcb43d	Barreiro, Portugal	2020-04-23	2020-04-22T23:00:00		86							https://covid19.min-saude.pt/
1b9cd672	Barren County, Kentucky	2020-04-23		0	8							https://govstatus.egov.com/
54686d98	Barron County, Wisconsin	2020-04-23	2020-04-23T06:00:00	0	6							https://www.dhs.wisconsin.gov/
abe096e7	Barrow County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	3	106							https://dph.georgia.gov/
2c37a8f3	Barry County, Michigan	2020-04-23	2020-04-23T19:00:00+0000	1	28							https://www.michigan.gov/
61c25ef7	Barry County, Missouri	2020-04-23			5							https://health.mo.gov/
2731a36f	Bartholomew County, Indiana	2020-04-23	2020-04-23T12:00:00	8	163		466					https://coronavirus.in.gov/
87d9750d	Barton County, Kansas	2020-04-23	2020-04-23T09:45:00		9							https://govstatus.egov.com/
68b0a872	Bartow County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	27	264							https://dph.georgia.gov/
e3c4194d	Basilicata	2020-04-23		24	356	103	8511	229				http://www.salute.gov.it/
cbfae498	Basque Country (autonomous community)	2020-04-23	2020-04-24T09:35:03	1193	13780	8459						https://www.mscbs.gob.es/
74952e8d	Bastrop County, Texas	2020-04-23		2	53							https://www.dshs.state.tx.us/
f7a2d29d	Batalha, Portugal	2020-04-23	2020-04-22T23:00:00		4							https://covid19.min-saude.pt/
a5ce0868	Bates County, Missouri	2020-04-23		1	6							https://health.mo.gov/
86f07a3b	Bath County, Kentucky	2020-04-23		0	3							https://govstatus.egov.com/
7ab4f00f	Bath County, Virginia	2020-04-23	2020-04-23T10:00:00									http://www.vdh.virginia.gov/
572179bf	Baxter County, Arkansas	2020-04-23		0	5	1						https://www.healthy.arkansas.gov/
d3a4fb9b	Bay County, Florida	2020-04-23		2	60							https://floridahealthcovid19.gov/
7a89a4fa	Bay County, Michigan	2020-04-23	2020-04-23T19:00:00+0000	2	102							https://www.michigan.gov/
77610275	Bay of Plenty	2020-04-23	2020-04-22T01:00:00+0000		47	33		14				https://www.health.govt.nz/
5f7d7f84	Bayfield County, Wisconsin	2020-04-23	2020-04-23T06:00:00	1	3							https://www.dhs.wisconsin.gov/
fe8b7791	Beadle County, South Dakota	2020-04-23	2020-04-23T10:46:32	2	21	19	187					https://doh.sd.gov/
f15ee56a	Bear Lake County, Idaho	2020-04-23	2020-04-23T17:00:00									https://coronavirus.idaho.gov/
9a3f4b63	Beaufort County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	0	16							https://www.ncdhhs.gov/
73b6dd2f	Beaufort County, South Carolina	2020-04-23		9	241							https://www.scdhec.gov/
0957f015	Beauregard Parish, Louisiana	2020-04-23		2	35							http://ldh.la.gov/
388b2ef6	Beaver County, Oklahoma	2020-04-23	2020-04-23T00:00:00		1							https://coronavirus.health.ok.gov/
9bbfc7b8	Beaver County, Pennsylvania	2020-04-23	2020-04-23T16:45:00+0000	46	319		1986					https://www.health.pa.gov/
54b10a0c	Beaver County, Utah	2020-04-23	2020-04-23T14:00:00									https://swuhealth.org/covid/
4dd24ce0	Beaverhead County, Montana	2020-04-23		0	1							https://dphhs.mt.gov/
11fbabf2	Becker County, Minnesota	2020-04-23	2020-04-23T00:00:00	0	2							https://www.health.state.mn.us/
50eb01eb	Beckham County, Oklahoma	2020-04-23	2020-04-23T00:00:00		2	1						https://coronavirus.health.ok.gov/
4cd74eff	Bedford County, Pennsylvania	2020-04-23	2020-04-23T16:45:00+0000	1	20		149					https://www.health.pa.gov/
8db63a05	Bedford County, Tennessee	2020-04-23	2020-04-23T19:00:00	2	130	17						https://www.tn.gov/
c4434c32	Bedford County, Virginia	2020-04-23	2020-04-23T10:00:00		21							http://www.vdh.virginia.gov/
1ef48a2c	Bee County, Texas	2020-04-23			6							https://www.dshs.state.tx.us/
4c5129bd	Belarus	2020-04-23		60	7281	769						https://www.who.int/
aac24493	Belgium	2020-04-23	2020-04-23T00:00:00	6490	42797							https://epistat.wiv-isp.be/Covid/
212d7fbd	Belize	2020-04-23	2020-04-24T11:42:31	2	18							https://www.ecdc.europa.eu/
74849d8a	Belknap County, New Hampshire	2020-04-23	2020-04-23T09:00:00		28							https://www.nh.gov/
ba1e97d4	Bell County, Texas	2020-04-23		3	153							https://www.dshs.state.tx.us/
3cde3168	Belmont County, Ohio	2020-04-23	2020-04-23T14:00:00	6	95							https://coronavirus.ohio.gov/
59fb6f90	Beltrami County, Minnesota	2020-04-23	2020-04-23T00:00:00	0	6							https://www.health.state.mn.us/
657432b0	Ben Hill County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	0	21							https://dph.georgia.gov/
b5c525c3	Benavente, Portugal	2020-04-23	2020-04-22T23:00:00		27							https://covid19.min-saude.pt/
afffe570	Benewah County, Idaho	2020-04-23	2020-04-23T17:00:00									https://coronavirus.idaho.gov/
a2130d16	Benin	2020-04-23	2020-04-24T11:42:31	1	54							https://www.ecdc.europa.eu/
72224c6b	Bennett County, South Dakota	2020-04-23	2020-04-23T10:46:32				11					https://doh.sd.gov/
28215fb4	Bennington County, Vermont	2020-04-23	2020-04-23T10:52:00	1	37							https://www.healthvermont.gov/
c7c09883	Bent County, Colorado	2020-04-23			0							https://covid19.colorado.gov/
906d924e	Benton County, Arkansas	2020-04-23		0	69	44						https://www.healthy.arkansas.gov/
68b65b21	Benton County, Indiana	2020-04-23	2020-04-23T12:00:00		6		71					https://coronavirus.in.gov/
d977e941	Benton County, Iowa	2020-04-23		1	24							https://idph.iowa.gov/
bfcf4c0e	Benton County, Minnesota	2020-04-23	2020-04-23T00:00:00	0	4							https://www.health.state.mn.us/
26cf4707	Benton County, Mississippi	2020-04-23	2020-04-23T05:00:00+0000	0	9							https://msdh.ms.gov/
d1202a5d	Benton County, Missouri	2020-04-23			4							https://health.mo.gov/
b609735a	Benton County, Oregon	2020-04-23	2020-04-23T15:00:00+0000	5	27		743					https://govstatus.egov.com/OR-OHA-COVID-19
e83ec109	Benton County, Tennessee	2020-04-23	2020-04-23T19:00:00	1	5	4						https://www.tn.gov/
748bac00	Benton County, Washington	2020-04-23		35	348							https://coronavirus.wa.gov/
36de78f2	Benzie County, Michigan	2020-04-23	2020-04-23T19:00:00+0000		4							https://www.michigan.gov/
506a394f	Bergen County, New Jersey	2020-04-23		835	13356							https://www.nj.gov/
64f3b93a	Berkeley County, South Carolina	2020-04-23		6	152							https://www.scdhec.gov/
88b4d2cb	Berkeley County, West Virginia	2020-04-23	2020-04-23T10:00:00	1	125							https://dhhr.wv.gov/
c3ecce11	Berks County, Pennsylvania	2020-04-23	2020-04-23T16:45:00+0000	86	2212		6620					https://www.health.pa.gov/
84d7be32	Berkshire County, Massachusetts	2020-04-23	2020-04-23T16:00:00	31	418							https://www.mass.gov/
d5ba2689	Bermuda	2020-04-23	2020-04-24T11:42:31	5	99			1				https://www.ecdc.europa.eu/
c21ca85a	Bernalillo County, New Mexico	2020-04-23		31	631							https://cv.nmhealth.org
1425c5ca	Berrien County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	0	12							https://dph.georgia.gov/
55fdcea7	Berrien County, Michigan	2020-04-23	2020-04-23T19:00:00+0000	11	189							https://www.michigan.gov/
552b32ad	Bertie County, North Carolina	2020-04-23	2020-04-23T15:00:00+0000	1	31							https://www.ncdhhs.gov/
706e8e76	Bethel Census Area, Alaska	2020-04-23			1							http://www.dhss.alaska.gov/
5b01eec0	Bexar County, Texas	2020-04-23		39	1126							https://www.dshs.state.tx.us/
47171281	Bhutan	2020-04-23	2020-04-24T11:42:31		7			1				https://www.ecdc.europa.eu/
73c95466	Bibb County, Alabama	2020-04-23		0	34							https://covid19.alabama.gov/
8ce601b4	Bibb County, Georgia	2020-04-23	2020-04-23T22:28:15+0000	5	234							https://dph.georgia.gov/
202f8ad4	Bienville Parish, Louisiana	2020-04-23		12	69							http://ldh.la.gov/
a760cbf2	Big Horn County, Montana	2020-04-23		0	3							https://dphhs.mt.gov/
44a876e1	Big Stone County, Minnesota	2020-04-23	2020-04-23T00:00:00	0	1							https://www.health.state.mn.us/
7ce4d59e	Bihar	2020-04-23	2020-04-22T11:30:00+0000	2	126	46						https://www.mohfw.gov.in/
77086ff2	Bingham County, Idaho	2020-04-23	2020-04-23T17:00:00		3							https://coronavirus.idaho.gov/
